Tarif_Adi,Lemmatized_Metin
Yoğurtlu Topalak Çorbası,irmik ince bulgur kuru soğan yumurta akı yumurta sarısı sıcak su haşlanmış nohut sıcak su tuz karabiber yoğurt un limon suyu tereyağı zeytinyağı kırmızı toz biber kuru nane bulgurlu karışımın üzerine sıcak su dökün kaptaki tüm malzemeyi kaşık yardımı ile güzelce karıştırın kabın üzerini kapatıp dakika bekletin daha sonra kabın üzerini açıp içine yumurta akı ekleyin yumurtanın sarısı çorbanın terbiyesi için kullanılacaktır ardından adet rendelenmiş soğan koyun tüm köfte harcını eliniz ile iyice yoğurun köfte harcını iyice yoğurduktan sonra nohut büyüklüğünde parçalar alıp elinizde yuvarlayın derin bir tencere içine litre sıcak su koyup kaynamaya bırakın su kaynadıktan sonra yuvarladığınız köfteleri suyun içine koyup karıştırın yaklaşık dakika pişirin daha sonra tencereye su bardağı haşlanmış nohut ekleyip dakika kadar daha pişirin çorbanın terbiyesi için bir kaba su bardağı yoğurt adet yumurta sarısı yemek kaşığı un ve yemek kaşığı limon suyu koyun terbiyeli karışımı tel çırpıcı yardımı ile iyice karıştırın ardından çorbanın suyundan kepçe alın terbiyenin içine ekleyip hızlı bir şekilde karıştırarak ılımasını sağlayın daha sonra terbiyeyi çorbanın içine azar azar döküp kesilme olmaması için hızlı bir şekilde kaynayana kadar karıştırın çorba kaynadıktan sonra ocağın altını kısıp dakika daha pişirin son olarak damak tadınıza göre tuz ekleyip karıştırın yoğurtlu topalak çorbasının üzeri için küçük bir tava içine yemek kaşığı tereyağı ve yemek kaşığı zeytinyağı koyup ısıtın yağın üzerine tatlı kaşığı kırmızı toz biber ve tatlı kaşığı kuru nane ekleyip biraz kızdırın hazırladığınız yoğurtlu topalak çorbasının üzerine naneli kırmızı biberli yağ karışımını döküp sıcak olarak servis edebilirsiniz
Arpa Şehriye Çorbası,arpa şehriye soğan havuç yeşil biber tereyağ sıvı yağ domates salçası limon suyu maydanoz sıcak su tuz karabiber derin bir tencere içine yemek kaşığı tereyağı ve yemek kaşığı sıvı yağ koyun üzerine ince ince doğranmış soğanı ekleyip dakika kavurun ardından minik minik doğranmış havuçları ekleyip dakika kadar daha kavurun doğranmış biberleri de koyup dakika kavurun kavurduğunuz sebzelerin üzerine çay bardağı arpa şehriye koyup dakika kadar daha kavurun tencere içine yemek kaşığı domates salçası ekleyin tüm malzemeleri salça ile birlikte kısa bir süre daha kavurun daha sonra tencereye su bardağı sıcak su döküp karıştırın çorbayı kaynamaya bırakın arpa şehriye çorbası kaynadıktan sonra ocağın altını kısın şehriyeler yumuşayana kadar pişirin çorba piştikten sonra içine damak tadınıza göre tuz karabiber yemek kaşığı limon suyu ve tutam ince ince doğranmış maydanoz ekleyin çorbayı kepçe yardımı ile güzelce karıştırın
Avokado Çorbası,avokado yoğurt salatalık dereotu taze nane zeytinyağı limon suyu su tuz avokadoyu uzunlamasına kesin ve ikiye ayırın ortasındaki çekirdeği çıkardıktan sonra kabuğunun kenarından yemek kaşığı sokup sıyırarak iç kısmını alıp dilimleyin salatalığı kabuğu ile birlikte küçük küçük dilimleyin dereotu ve taze naneyi parçaya kesin tüm malzemeleri blender yardımı ile iyice püre haline getirin son olarak yoğun boza kıvamına gelen çorbanın üzerine su bardağı kadar suyu azar azar döküp karıştırarak kıvamını biraz açın
Dövme Buğday Çorbası,aşurelik buğday haşlanmış nohut yumurta sarısı un yoğurt tavuk ya da et suyu tuz tere yağı kuru nane derin bir tencere içine su bardağı kadar tavuk suyu et suyu ya da normal su koyup kaynamaya bırakın kaynayan suyun içine buğdayları koyup buğdaylar şişene kadar pişirin buğdaylar piştikten sonra su bardağı haşlanmış nohut ekleyip karıştırın diğer tarafta bir kap içine buçuk su bardağı yoğurt adet yumurta sarısı ve yemek kaşığı un koyup iyice karıştırın kaynayan çorba suyundan kepçe alın yoğurtlu karışımın içine ekleyip hızlıca karıştırın ardından yoğurtlu karışımı çorbanın içine azar azar döküp çorbanın kesilmemesi için hızlı bir şekilde karıştırın dövme buğday çorbasını kaynamaya bırakın kaynadıktan sonra tuz ekleyip ocağın altını kapatın son olarak küçük bir tava içine yemek kaşığı tereyağı koyup eritin üzerine tatlı kaşığı nane koyup biraz kızdırın bu naneli karışımı dövme buğday çorbası üzerine döküp karıştırın
Erişteli Kırmızı Mercimek Çorbası,kırmızı mercimek erişte haşlanmış nohut zeytinyağı tere yağı domates salçası sıcak su kuru nane tuz orta boy derin bir tencere içine yemek kaşığı zeytinyağı ve tatlı kaşığı tereyağı koyup ısıtın isınan yağın üzerine yemek kaşığı domates salçası ekleyin salçanın hafifçe kokusu çıkana kadar kavurun kavrulan salçanın üzerine yarım su bardağı yıkanmış kırmızı mercimeği koyun mercimeği dakika sürekli karıştırarak kavurun kavrulan mercimeğin üzerine buçuk su bardağı sıcak su döküp karıştırın ardından kaynamaya bırakın kaynadıktan sonra kısık ateş üzerinde mercimekler yumuşayana kadar pişirin mercimekler yumuşadıktan sonra blenderdan geçirin çorbanın kıvamı koyu ise sıcak su ekleyebilirsiniz daha sonra çorbanın içine yarım su bardağı erişte koyup karıştırın kısık ateş üzerinde erişteler yumuşayana kadar pişirin eriştelerin pişmesine yakın üzerine yarım su bardağından biraz fazla haşlanmış nohut ekleyin son olarak pişen çorbanın üzerine damak tadınıza göre tuz ve kuru nane koyup karıştırın
Erzincan Çorbası,kıyma tuz karabiber soğan zeytinyağı erişte nohut su yoğurt un yumurta sarısı limon suyu sarımsak su tereyağı kuru nane kıymalı harçtan misket büyüklüğünde toplar yapıp unladığınız tepsi içine dizin tepsiyi hafifçe sallayıp köftelerin unlanmasını sağlayın derin bir tencere içine yemek kaşığı zeytinyağı koyun üzerine adet küçük boy ince ince doğranmış soğan ekleyin soğanı dakika kadar kavurun kavurduğunuz soğanların üzerine köfteleri koyun rengi dönene kadar dakika kadar köfteleri pişirin köfteler piştikten sonra üzerine buçuk litre sıcak su dökün çorba suyunun içine su bardağı erişte koyun ardından su bardağı nohut ekleyin erişteler yumuşayıncaya kadar pişirin terbiyesi için derin bir kap içine su bardağı yoğurt koyun üzerine adet yumurta sarısı yemek kaşığı un yarım limon suyu diş rendelenmiş sarımsak ve yarım su bardağı su ekleyin tel çırpıcı yardımı ile pürüzsüz bir kıvam alana kadar iyice karıştırın terbiyeli karışımın üzerine kepçe kadar kaynayan çorba suyundan koyun yoğurdun kesilmemesi için hızlıca karıştırarak ılımasını sağlayın hazırladığınız yoğurtlu terbiyeyi azar azar kaynayan çorba suyunun üzerine döküp kesilme yapmaması için hızlı bir şekilde karıştırın ardından çorba kaynayana kadar karıştırmaya devam edin kaynadıktan sonra damak tadınıza göre tuz ekleyin kısık ateş üzerinde dakika kadar daha kaynatıp ocağın altını kapatın üzeri için küçük bir tava içine yemek kaşığı tereyağı koyup eritin eriyen yağın üzerine yemek kaşığı kuru nane ekleyip kızdırın erzincan çorbasının üzerine kızdırılmış naneli yağ karışımını dökün çorbayı kere karıştırın
Ispanaklı Şehriye Çorbası,ıspanak tel şehriye domates salçası soğan su zeytinyağı tuz karabiber ispanağı iyice yıkayın ve ince ince doğrayın soğanı ince ince doğrayın ve zeytinyağında dakika kavurun domates salçası ekleyin ve dakika kavurun ispanakları ekleyin ve kere karıştırın su ekleyin ve kaynamaya bırakın tel şehriye ekleyin ve karıştırın şehriyeler şişene kadar pişirin tuz ve karabiber ekleyin ve karıştırın
Karnabahar Yaprağı Çorbası,karnabahar yaprağı soğan havuç pirinç zeytinyağı domates salçası sıcak su maydanoz tuz adet orta boy karnabaharın yapraklarını güzelce çıkarın yaprakları iyice yıkayıp kurulayın karnabahar yapraklarını bıçak yardımı ile küçük küçük doğrayın adet orta boy soğanı ince ince doğrayın adet orta boy havucu da küçük küçük doğrayın orta boy derin bir tencere içine yemek kaşığı zeytinyağı döküp ısıtın isınan yağın üzerine doğradığınız soğanları koyun soğanları dakika kadar sürekli karıştırarak kavurun ardından kavrulan soğanların üzerine yemek kaşığı domates salçası ekleyin salçanın kokusu çıkana kadar sürekli karıştırarak kavurmaya devam edin daha sonra kavrulan salçanın üzerine doğradığınız karnabahar yapraklarını ve doğradığınız havuçları ekleyin yaprakları ve havuçları dakika sürekli karıştırarak kavurun ardından tencereye litre sıcak su dökün çorbayı ara ara karıştırarak kaynamaya bırakın çorbanız kaynadıktan sonra içine yemek kaşığı pirinç koyup karıştırın pirinçler ve sebzeler yumuşayana kadar çorbayı orta kısık ateş üzerinde pişirin çorbanız piştikten sonra damak tadınıza göre tuz ve tutam ince ince doğranmış maydanoz ekleyip karıştırın çorbanızın kıvamı koyu ise üzerine azar azar kaynar su döküp kıvamını açabilir ya da yemek gibi olsun isterseniz su miktarını biraz daha azaltabilirsiniz
Kış Çorbası,ıspanak yaprağı havuç un tere yağı sarımsak su tuz karabiber adet ıspanak yaprağını iyice yıkayıp kurulayın bıçak yardımı ile ince ince doğrayın adet büyük boy havucun kabuğunu soyup rendenin iri tarafı ile rendeleyin orta boy derin bir tencere içine yemek kaşığı tereyağı koyup eritin eriyen yağın üzerine yemek kaşığı un ekleyip hafifçe unun kokusu çıkana kadar kavurun kavrulmuş unun üzerine diş rendelenmiş sarımsak ekleyip kısa bir süre daha kavurun ardından tencereye su bardağı suyu döküp bir yandan da hızlı bir şekilde karıştırın tenceredeki çorba suyuna rendelenmiş havucu koyun çorbayı karıştırıp kaynamaya bırakın çorba kaynadıktan sonra ince ince doğranmış ıspanağı ekleyip tekrar karıştırın çorbayı dakika kadar pişirin
Kıymalı Yeşil Mercimekli Şehriye Çorbası,kıyma yeşil mercimek arpa şehriye domates salçası maydanoz sıvı yağ sıcak su kırmızı pul biber karabiber tuz orta boy derin bir tencere içine yemek kaşığı sıvı yağ koyun üzerine gr kıyma ekleyin kıymayı sürekli karıştırarak pişirin kıyma piştikten sonra üzerine yemek kaşığı domates salçası koyun salçayı kıyma ile birlikte dakika kavurun daha sonra tencereye buçuk su bardağı sıcak su döküp kaynamaya bırakın çorba kaynamaya başladıktan sonra içine haşlanmış yeşil mercimeği koyun ardından yarım çay bardağı arpa şehriye ekleyin damak tadınıza göre tuz karabiber ve kırmızı pul biber koyun çorbayı karıştırıp şehriyeler şişene kadar pişirin kıymalı yeşil mercimekli şehriye çorbası piştikten sonra ocağın altını kapatın çorbanın içine tutam ince ince doğranmış maydanoz ekleyip karıştırın
Kremalı Mercimek Çorbası,kırmızı mercimek kuru soğan patates sarımsak tere yağı sıvı yağ domates salçası sıvı krema sıcak su tuz kuru nane karabiber patates soğan ve sarımsağın kabuğunu soyup küçük küpler halinde kesin tencere içine tereyağı ve sıvı yağ koyup ısıtın yağın üzerine doğradığınız soğan patates ve sarımsağı ekleyip yaklaşık dakika kadar kavurun kavrulan sebzelerin üzerine domates salçası koyun salçanın hafifçe kokusu çıkana kadar dakika kadar daha kavurun ardından tencereye kırmızı mercimeği koyun mercimeği de diğer sebzeler ile birlikte kısa bir süre daha kavurun daha sonra tencerenin içine sıcak su döküp mercimek ve patatesler yumuşayana kadar pişirin mercimek ve patatesler yeterince yumuşadıktan sonra pürüzsüz bir kıvam alana kadar blenderdan geçirin çorbanın kıvamı koyu ise biraz daha sıcak su ekleyip kıvamı açabilirsiniz blenderdan geçirdiğiniz çorbanın içine damak tadınıza göre tuz karabiber ve kuru nane ekleyip karıştırın son olarak çorbanın içine sıvı kremayı azar azar döküp güzelce karıştırın kremalı mercimek çorbasını taşım daha kaynatıp ocağın altını kapatın
Mantarlı Tarhana Çorbası,kültür mantarı toz tarhana domates salçası biber salçası kırmızı kapya biber sarıkmsak tere yağı su tuz kuru nane gr mantarın kabuğunu soyup nemli bir bez ile temizleyin mantarları çok küçük olmayacak şekilde dilimleyin adet küçük boy kırmızı kapya biberi minik küpler şeklinde doğrayın diş sarımsağı da ince ince doğrayın orta boy derin bir tencere içine yemek kaşığı tereyağı koyup ısıtın yağın üzerine doğradığınız biberleri ekleyin biberleri dakika kadar sürekli karıştırarak kavurun daha sonra biberlerin üzerine doğranmış mantarları ve doğranmış sarımsakları koyun mantarlar suyunu salıp çekene kadar orta ateş üzerinde sürekli karıştırarak kavurun ardından kavrulan mantarların üzerine tatlı kaşığı domates salçası ve tatlı kaşığı biber salçası ekleyin salçaların hafifçe kokusu çıkana kadar bir süre daha kavurmaya devam edin daha sonra tencereye yemek kaşığı toz tarhana koyun tarhanayı da diğer malzemeler ile birlikte dakika kadar daha kavurmaya devam edin son olarak tencereye buçuk su bardağı suyu azar azar dökün topaklanma olmaması için bir yandan da çorbayı hızlı bir şekilde karıştırın çorbanız kaynayıp kıvam alana kadar orta ateş üzerinde sürekli karıştırarak pişirin daha sonra damak tadınıza göre tuz ve kuru nane ekleyip karıştırın mantarlı tarhana çorbası piştikten sonra dakika dinlenmeye bırakın daha sonra sıcak olarak servis edebilirsiniz
Mercimekli Erişteli Yoğurt Çorbası,erişte haşlanmış yeşil mercimek haşlanmış nohut sıcak su yoğurt yumurta sarısı un soğan zeytinyağı kuru nane su kaynadıktan sonra içine çay bardağı erişte koyun ardından tencereye çay bardağı haşlanmış yeşil mercimek ve çay bardağı haşlanmış nohut ekleyin erişteler yumuşayana kadar ara ara karıştırarak dakika kadar pişirin çorbanın terbiyesi için derin bir kaba buçuk su bardağı yoğurt adet yumurta sarısı ve yemek kaşığı un ekleyin yoğurt yumurta ve unu tel çırpıcı yardımı ile iyice karıştırın daha sonra kaynayan çorba suyundan kepçe alıp yoğurtlu terbiyenin içine dökün terbiyeyi hızlı bir şeklide karıştırıp ılımasını sağlayın hazırladığınız yoğurtlu terbiyeyi çorbanın içine azar azar dökün çorbanın kesilmemesi için de bir yandan hızlı bir şekilde karıştırın kaynayana kadar çorbayı karıştırın küçük bir tavaya yemek kaşığı zeytinyağı koyun yağın üzerine adet küçük boy ince ince doğranmış soğan ekleyip yumuşayana kadar kavurun kavrulan soğanın üzerine tatlı kaşığı kuru nane koyup kere karıştırıp ocaktan alın hazırladığınız mercimekli erişteli yoğurt çorbasının üzerine soğanlı naneli sosu ve damak tadınıza göre tuz koyup karıştırın çorbayı dakika daha pişirin
Mısırlı Patates Çorbası,patates soğan konserve mısır zeytinyağı un su tuz tereyağı kırmızı toz biber derin bir tencereye yemek kaşığı zeytinyağı dökün ve ısıtın yağın üzerine adet büyük boy ince ince doğranmış soğan koyun ve soğanı yumuşayana kadar sürekli karıştırarak kavurun kavrulan soğanın üzerine yemek kaşığı dolusu un ekleyin ve unun kokusu çıkana kadar sürekli karıştırmaya devam edin daha sonra tencereye adet orta boy küpler halinde doğradığınız patatesleri koyun ve patatesleri de dakika kadar kavurmaya devam edin ardından tencereye su bardağı su döküp bir yandan da iyice karıştırın patatesleri iyice yumuşayana kadar ara ara karıştırarak pişirin patatesler yeterince yumuşadıktan sonra çorbayı pürüzsüz bir kıvam alana kadar blenderdan geçirin son olarak çorbanın içine buçuk çay bardağı kadar konserve mısır ve damak tadınıza göre tuz koyup karıştırın hazırladığınız mısırlı patates çorbasını orta kısık ateş üzerinde dakika pişirin çorbanın kıvamı koyu ise biraz sıcak su ekleyip kıvamını açabilirsiniz patatesli mısır çorbası piştikten sonra dakika dinlenmeye bırakın daha sonra küçük bir sos tavası içine yemek kaşığı tereyağı koyup eritin yağın üzerine çay kaşığı kırmızı toz biber koyup biraz kızdırın ardından çorbanın üzerine gezdirip sıcak olarak servis edebilirsiniz
Nohutlu Patates Çorbası,haşlanmış nohut patates soğan tereyağı un su zerdeçal tuz zeytinyağı kırmızı toz biber tencereye tereyağı koyup eritmek soğanı ince ince doğrayıp kavurmak unu ekleyip kavurmak patatesleri küçük küpler halinde doğrayıp eklemek su ve zerdeçal ekleyip kaynatmak patatesler piştikten sonra nohut ve tuz eklemek dakika daha pişirmek blenderdan geçirmek zeytinyağı ve kırmızı toz biber ile sos hazırlayıp servis etmek
Pancar Çorbası,kırmızı pancar patates havuç kuru soğan sarımsak zeytinyağı su tuz karabiber adet orta boy kırmızı pancar adet orta boy patates adet orta boy havuç adet orta boy soğan ve diş sarımsağın kabuğunu soyup küçük küpler halinde doğrayın orta boy derin bir tencere içine yemek kaşığı zeytinyağı döküp iyice ısıtın üzerine doğranmış havuç soğan sarımsak ve patatesi ekleyin ardından doğranmış kırmızı pancarları koyun tüm sebzeleri ara ara karıştırarak dakika kavurun kavrulan sebzelerin üzerine litre su döküp kaynamaya bırakın kaynadıktan sonra tencerenin kapağını kapatın kısık ateş üzerinde sebzeler iyice yumuşayana kadar pişirin sebzeler yeterince yumuşadıktan sonra pürüzsüz bir kıvam alana kadar blenderdan geçirin son olarak çorbaya damak tadınıza göre tuz ve karabiber ekleyip karıştırın
Paşazade Çorbası,kıyma soğan galeta unu maydanoz tuz karabiber patates haşlanmış nohut su yoğurt yumurta sarısı un tere yağı nane kıymayı bir kaba koyun üzerine soğanı rendeleyin galeta unu maydanoz tuz ve karabiber ekleyin i yice yoğurun yoğurduğunuz kıymalı harçtan küçük parçalar alın avuç içinde sıkarak şekil verin köftelerin üzerine un serpiştirip hafifçe sallayın geniş bir tava içine az miktarda sıvı yağ koyup kızdırın köfteleri kızgın yağ içinde kızartın patatesin kabuğunu soyup küçük küpler halinde kesin derin bir tencere içine su döküp kaynamaya bırakın kaynayan suyun içine patatesleri ekleyin ardından haşlanmış nohut koyun patatesler yumuşayana kadar pişirin patateslerin pişmesine yakın köfteleri de ekleyip dakika daha pişirmeye devam edin çorbanın meyanesi için yoğurt yumurta sarısı ve un ekleyin tel çırpıcı ile iyice karıştırın patatesler piştikten sonra kaynayan çorba suyundan kepçe alıp meyanenin içine dökün karıştırıp ılımasını sağlayın hazırladığınız paşazade çorbasının üzerine kızdırılmış naneli karışımı döküp sıcak olarak servis edebilirsiniz
Pirinçli Tarhana Çorbası,toz tarhana pirinç tereyağı domates salçası biber salçası su kırmızı pul biber kuru nane tuz orta boy derin bir tencere içine yemek kaşığı tereyağı koyup eritin yağın üzerine tatlı kaşığı domates salçası ve tatlı kaşığı biber salçası koyun salçaların kokusu çıkana kadar kavurmaya devam edin salçayı kavurduktan sonra üzerine yemek kaşığı toz tarhana ekleyin tarhanayı da dakika kadar sürekli karıştırarak kavurun daha sonra tarhananın üzerine su bardağı soğuk suyu azar azar dökün bir yandan da hızlı bir şekilde karıştırın çorba kaynayana kadar sürekli karıştırmaya devam edin kaynama noktasına gelen çorbanın içine yemek kaşığı pirinç ekleyip karıştırın orta kısık ateş üzerinde pirinçler iyice yumuşayana kadar ara ara karıştırarak pişirin pirinçli tarhana çorbası piştikten sonra damak tadınıza göre tuz kuru nane ve kırmızı pul biber koyup güzelce karıştırın i steğe göre tutam da ince ince doğranmış maydanoz ekleyebilirsiniz
Brokoli Çorbası,brokoli soğan havuç patates süt tere yağı un tuz karabiber derin bir tencere içine doğradığınız bütün sebzeleri koyun sebzelerin üzerlerini geçecek kadar su döküp ocak üzerine koyun sebzeler yumuşayana kadar haşlayın haşlama suyunu dökmeyin diğer tarafta başka derin bir tencere içine yemek kaşığı tereyağı koyup eritin üzerine yemek kaşığı un ekleyin unu dakika kadar kavurun kavrulan unun üzerine su bardağı sütü azar azar dökün sürekli karıştırarak pişirin daha sonra haşladığınız sebzeleri sütlü karışımın içine alın son olarak üzerlerine buçuk su bardağı haşlama suyundan dökün çorbayı blender ile iyice ezin daha sonra çorbanın içine damak tadınıza göre tuz ve karabiber koyup karıştırın taşım kaynatıp ocağın altını kapatın
Sütlü Soğan Çorbası,kuru soğan tereyağı zeytinyağı sarımsak un süt süt tuz karabiber kırmızı toz biber soğanları yarım ay şeklinde ince ince doğrayın tereyağı ve zeytinyağını ısıtın soğanı tencereye koyun ve yumuşayana kadar kavurun sarımsağı ekleyin ve kokusu çıkana kadar kavurun unu ekleyin ve kokusu çıkana kadar kavurun soğuk suyu azar azar dökün ve topaklanma olmaması için hızlı bir şekilde karıştırın sütü ekleyin ve kaynamaya bırakın çorbanızı blenderdan geçirin tuz ve karabiber ekleyin ve karıştırın üzeri için zeytinyağı ve kırmızı toz biberi kızdırın hazırladığınız çorbanızı kaselere koyun ve sıcak olarak servis edebilirsiniz
Tavuklu Tarhana Çorbası,toz tarhana tavuk but tere yağı sarımsak domates salçası tavuk suyu su kuru nane tuz tavuk budunu kaynatın tavuk budunu didikleyin tereyağını eritip domates salçası ve sarımsak ekleyin tarhana ekleyin ve karıştırın tavuk suyu ve su ekleyin ve karıştırın tavuk etlerini ekleyin ve karıştırın tuz ve kuru nane ekleyin
Tavuk Suyu Çorbası,kalçalı tavuk but tel şehriye soğan sarımsak havuç zeytinyağı maydanoz tavuk suyu tuz karabiber terbiye yumurta sarısı un su limon suyu derin bir tencere içine adet kalçalı tavuk but koyun adet küçük boy soğanı dörde bölüp tencere içine koyun üzerlerine parmak geçecek kadar su döküp ocak üzerine alın tavuk etini iyice yumuşayana kadar pişirin pişen tavuk etini tencere içinden alın tavuk etlerini kemiklerinden ayırıp küçük küçük parçalayın tavuk suyunun içinde bulunan soğanı da alıp atın orta boy derin bir tencere içine yemek kaşığı zeytinyağı döküp ısıtın yağın üzerine adet orta boy rendelenmiş havuç koyup dakika sürekli karıştırarak kavurun kavrulan havucun üzerine diş küçük küçük doğranmış sarımsak ekleyin sarımsağı da havuçla birlikte kısa bir süre kavurun tencereye su bardağı tavuk suyu döküp karıştırın ve kaynamaya bırakın kaynayan tavuk suyunun içine çay bardağı kadar tel şehriye koyun ardından da küçük küçük parçaladığınız tavuk etlerini ekleyip karıştırın şehriyeler yumuşayana kadar ara ara karıştırarak pişirmeye devam edin terbiyesi için küçük bir kase içine adet yumurta sarısı yemek kaşığı un adet sıkılmış limon suyu ve yemek kaşığı su koyun karışımı çırpıcı yardımı ile iyice karıştırın ardından çorba suyundan kepçe alın terbiyeli karışımın içine ekleyip iyice karıştırarak ılımasını sağlayın daha sonra hazırladığınız terbiyeli karışımı çorbanın içine azar azar döküp kesilme olmaması hızlı bir şekilde karıştırın ardından çorbayı sürekli karıştırarak kaynamaya bırakın tavuk suyu çorbası kaynadıktan sonra damak tadınıza göre tuz karabiber ve tutam ince ince doğranmış maydanoz koyup karıştırın çorbanın kıvamı koyu ise üzerine azar azar sıcak su döküp kıvamını ayarlayabilirsiniz hazırladığınız şehriyeli tavuk suyu çorbasını kaselere döküp sıcak olarak servis edebilirsiniz
Yoğurtlu Kabak Çorbası,kabak soğan sarımsak zeytinyağı su dereotu tuz karabiber yoğurt un kuru nane kırmızı pul biber adet küçük boy kabağı iyice yıkayıp kabuğunu alacalı soyun ardından iri küpler halinde kesin orta boy derin bir tencere içine yemek kaşığı zeytinyağı koyun yağın üzerine adet ince ince doğranmış soğan ekleyip dakika kavurun ardından diş ince ince doğranmış sarımsağı da koyup kısa bir süre daha kavurun kavrulan soğan ve sarımsağın üzerine iri küpler halinde kestiğiniz kabakları ekleyip dakika kadar kavurun daha sonra kabakların üzerine buçuk su bardağı sıcak su döküp kabaklar iyice yumuşayana kadar pişirin kabaklar iyice yumuşadıktan sonra pürüzsüz bir kıvam alana kadar blenderdan geçirin diğer tarafta çorbanın terbiyesi için çukur bir kaba su bardağı yoğurt ve yemek kaşığı un ekleyin tel çırpıcı ile iyice karıştırın çorba suyundan kepçe alıp terbiyenin içine dökün hızlı bir şekilde karıştırarak terbiyenin ılımasını sağlayın daha sonra da terbiyeli karışımı çorbanın içine azar azar döküp kesilme yapmaması için hızlı bir şekilde karıştırın kaynayana kadar karıştırmaya devam edin çorba kaynadıktan sonra üzerine tutam ince ince doğranmış dereotu damak tadınıza göre tuz ve karabiber koyup karıştırın eğer çorbanın kıvamı koyu ise üzerine azar azar sıcak su ekleyip kıvamı açabilirsiniz hazırladığınız yoğurtlu kabak çorbasını kaselere döküp üzerini kuru nane ve kırmızı pul biber ile süsleyerek servis edebilirsiniz
Zerdeçallı Mercimek Çorbası,kırmızı mercimek kuru soğan zerdeçal tere yağı tavuk suyu sıcak su tuz soğanın kabuğunu soyup iri küpler halinde kesin su bardağı kırmızı mercimeği iyice yıkayıp süzün derin bir tencere içine yıkanmış kırmızı mercimeği koyun mercimeklerin üzerine kestiğiniz soğanları ekleyin ardından yemek kaşığı tereyağı ve tatlı kaşığı zerdeçal koyun daha sonra tencereye su bardağı tavuk suyu ve su bardağı su dökün tencereyi ocak üzerine alıp mercimekler iyice yumuşayana kadar pişirin mercimekler piştikten sonra pürüzsüz bir kıvam alana kadar blenderdan geçirin çorbanın kıvamı koyu ise üzerine sıcak su ya da tavuk suyu ekleyip kıvamını açabilirsiniz son olarak damak tadınıza göre tuz da ekleyip karıştırın taşım daha kaynatıp ocağın altını kapatın
Balık Çorbası,levrek balığı su tere yağı un limon tuz sarımsak sirke balık çorbası yapımı için adet orta boy levrek balığını ortadan ikiye kesin derin bir tencere içine alın balığın üzerine ml yani su bardağı su ekleyin balığın kokusunu alması için tencerenin içine dilim limon koyun tencereyi ocak üzerine alıp yumuşayana kadar yaklaşık dakika kadar pişirin pişen balığın suyunu süzüp kenara alın balığı soğumaya bırakın soğuyan balığın kılçıklarını ayıklayın etlerini eliniz ile küçük küçük parçalara ayırın diğer yandan ayrı bir tencere içine yemek kaşığı tereyağı koyup eritin üzerine yemek kaşığı un ekleyin un kokusu çıkana kadar yaklaşık dakika kavurun daha sonra kavrulan unun üzerine balığın suyunu azar azar dökün topaklanmaması için hızlı bir şekilde karıştırın çorbayı karıştırarak kaynamaya bırakın bu süreçte çorba koyulaşacaktır su bardağı kadar sıcak suyu azar azar dökün karıştırarak tekrar kaynamaya bırakın son olarak kaynayan çorbanın içine küçük küçük parçaladığınız balık etlerini koyun damak tadınıza göre tuz ekleyip taşım daha kaynatıp ocağın altını kapatın balık çorbasının üzeri için diş sarımsağı rendenin ince tarafı ile rendeleyin küçük bir kap içine rendelenmiş sarımsakları koyun üzerine yarım çay bardağı sirke döküp karıştırın hazırladığınız balık çorbasını kaselere koyun üzerine sarımsaklı sirkeli balık çorbası sosundan yemek kaşığı kadar döküp servis edebilirsiniz
Kıymalı Mantar Çorbası,kültür mantarı kıyma soğan sarımsak sıvı yağ un süt su tuz karabiber tereyağı sıvı yağ kuru nane kırmızı toz biber gr kültür mantarı temizleyip ince ince dilimleyin derin bir tencere içine yemek kaşığı sıvı yağ dökün yağın üzerine adet küçük boy ince ince doğranmış soğan ve diş ince ince doğranmış sarımsak koyup dakika kavurun kavrulmuş soğanın üzerine gr kıyma ekleyin kıymayı sürekli karıştırarak suyunu çekene kadar kavurun kavrulan kıymanın üzerine dilimlenmiş mantarları koyun mantarları kıyma ile birlikte dakika kadar daha kavurun daha sonra mantarların üzerine yemek kaşığı un ekleyip dakika kavurun ardından karışımın üzerine buçuk su bardağı sütü azar azar döküp karıştırın su bardağı suyu da ekleyip kaynayana kadar karıştırmaya devam edin sütlü kıymalı mantar çorbası kaynadıktan sonra damak tadınıza göre tuz ve karabiber koyup dakika kadar daha kaynatın son olarak küçük bir tava içine tatlı kaşığı tereyağı ve yemek kaşığı sıvı yağ koyup eritin yağın üzerine biraz kuru nane ve kırmızı toz biber koyup kızdırın hazırladığınız naneli yağ karışımını kıymalı mantar çorbasının üzerine döküp sıcak olarak servis edebilirsiniz
