Tarif_Adi,Kategori,Malzemeler,Yapilis_Adimlari
Tavuklu Şehzade Kebabı,ana yemek,kuşbaşı doğranmış tavuk kalça eti soğan yeşil biber sarımsak domates salçası ılık su zeytinyağı patlıcan tuz karabiber kırmızı pul biber domates biber,"Orta boy geniş bir tencere içine 3-4 yemek kaşığı zeytinyağı döküp, iyice ısıtın. Yağın üzerine 600 gr kuşbaşı doğranmış tavuk kalça etini ekleyin. Tavuk etleri suyunu salıp, hafifçe çekene kadar ara ara karıştırarak, pişirin. Pişen tavuk etlerinin üzerine 1 adet orta boy ince ince doğranmış soğan, 2 diş ince ince doğranmış sarımsak ve 2 adet küçük küçük doğranmış yeşil biber koyun. 2-3 dakika kadar ara ara karıştırarak, pişirmeye devam edin. Daha sonra 1 yemek kaşığı domates salçası ekleyin. Salçayı da 1-2 dakika kadar tavuk etleri ile birlikte güzelce kavurun. Ardından damak tadınıza göre tuz, karabiber ve kırmızı pul biber koyup, karıştırın. Son olarak hazırladığınız tavuklu harcın üzerine 1 su bardağı ılık su döküp, 1-2 taşım kaynatın. Ardından tavuklu harcı ocaktan alıp, küçük yuvarlak borcam fırın kabının içine döküp, güzelce yayın. Diğer tarafta 3 adet orta boy patlıcanın kabuğunu alacalı olarak soyun. Patlıcanları çok küçük olmayacak şekilde küp küp doğrayın. Doğradığınız patlıcanları kızgın yağ içine koyup, güzelce kızartın. Ardından kızaran patlıcanları kağıt havlu serili bir tabak üzerine alıp, yağlarının süzülmesini sağlayın. Daha sonra patlıcanları borcama koyduğunuz tavuklu harcın üzerine ekleyin. Kepçe yardımı ile hafifçe karıştırın. Tekerardan fırın kabının içine yarım su bardağı kadar ılık su döküp, hafifçe karıştırın. Son olarak tavuklu şehzade kebabının üzerine orta kalınlıkta dilimlediğiniz domates ve biber dilimlerini güzelce dizin. Önceden ısıtılmış 180 derece fırına verin. Yaklaşık 20 dakika kadar pişirin."
Fırında Patates Yemeği,ana yemek,patates soğan sivri biber domates sarımsak zeytinyağı su karabiber kırmızı pul biber kekik kimyon köri tuz,"Patatesleri soyup elma dilimi şeklinde dilimleyin. Soğan ve biberleri dilimleyin. Domatesleri dörde bölün. Patatesleri bir kaba koyun ve baharatlarla harmanlayın. Soğan, biber ve domatesleri patateslerin üzerine yerleştirin. Zeytinyağı ve su ekleyin. Fırında 45-50 dakika pişirin."
Ballı Susamlı Tavuk,ana yemek,tavuk göğüs eti yumurta mısır nişastası sıvı yağ susam ketçap soya sosu limon suyu toz şeker bal sarımsak tuz karabiber,"3 yemek kaşığı susamı bir tava içine koyup, hafifçe kahverengi olana kadar yakmadan kavurun. Kavrulan susamı ocaktan alıp, başka bir kaba aktarıp, soğumaya bırakın. Yarım kilo tavuk göğüs etini çok büyük ve çok küçük olmayacak şekilde küpler halinde kesin. 2 adet yumurta kırın ve üzerine 3 yemek kaşığı mısır nişastası ekleyip, pürüzsüz bir kıvam alana kadar iyice çırpın. Doğradığınız tavuk etlerini yumurtalı karışımın içine koyup, iyice karıştırın. Sos için; bir kase içine 2 yemek kaşığı soya sosu, 2 yemek kaşığı ketçap, 2 yemek kaşığı limon suyu, 2 yemek kaşığı bal, 1 tatlı kaşığı toz şeker, 2 diş rendelenmiş sarımsak, damak tadınıza göre tuz ve karabiber ekleyin. Soya sosu tuzlu olduğu için tuz miktarını dikkatli bir şekilde ayarlayın. Sosun içine kavrulmuş susamı koyun ve tüm sos malzemelerini iyice karıştırıp, kenara alın. Yumurtalı nişastalı karışımın içinde olan tavuk etlerini tek tek alıp, kızgın yağ içine koyun. Tavuk etlerini kızgın yağ içinde arkalı önlü kızartın. Son olarak orta boy geniş bir tencere içine ballı susamlı sosu döküp, biraz ısıtın. Sosun üzerine kızarttığınız tavuk etlerini ekleyin ve tavuk etlerinin sosa iyice karışmasını sağlayın. Ardından tencerenin kapağını kapatın ve ballı susamlı tavuk etlerinin içleri tamamen pişinceye kadar kısık ateş üzerinde 20 dakika pişirin."
Cacıklı Arap Köftesi,ana yemek,köftelik ince bulgur kıyma sıcak su soğan un karabiber tuz tereyağı kırmızı toz biber kırmızı pul biber ıspanak zeytinyağı süzmeye yoğurt sarımsak,"Bulgur ve sıcak su karıştırılır. Kıyma, soğan, un, karabiber, tuz eklenip yoğrulur. Köfte harcı yoğrulur ve şekillendirilir. Ispanak kavurulur ve soğumaya bırakılır. Köfteler haşlanır ve süzülür. Köftelerin sosu hazırlanır ve köftelerle karıştırılır. Cacık hazırlanır ve köfteler yerleştirilir. Tereyağı eritilir ve köftelerin üzerine gezdirilir."
Çıtır Tavuk Kanatları,ana yemek,tavuk kanadı kırmızı pul biber kırmızı toz biber köri sarımsak tozu tuz süt un nişasta galeta unu,"Tavuk kanatlarını yıkayıp, suyunu süzün. Üzerlerine çatal yardımı ile birkaç yerinden delik açın. Tavuk kanatlarını haşlayın. Haşladığınız tavuk kanatlarının suyunu süzün. Soğuyan tavuk kanatlarını sosu ile birlikte güzelce karıştırın. Galeta unlu karışıma bulayın. Kızgın yağ içine koyun ve kızarana kadar pişirin."
Dalyan Köfte,ana yemek,kıyma yumurta galeta unu soğan maydanoz tuz kimyon karabiber garnitür yumurta yumurta akı domates salçası su,"Derin bir kabın içerisine 500 gr kıyma koyun. Üzerine 2 yemek kaşığı galeta unu koyup, 1 adet yumurta kırın. Rendelenmiş 1 adet soğan ve ince ince doğranmış 1 tutam maydanoz ekleyin. Son olarak tuz, karabiber ve kimyon ilave edin. 10 dakika boyunca sürekli yoğurun. Ardından 15dk kadar buzdolabında dinlendirin. Dinlendikten sonra buzdolabından çıkartıp 10 dakika daha güzelce yoğurun. Mutfak tezgahı üzerine bir adet alüminyum folyoyu serin. Alüminyum folyonun köfte harcına direk temas etmemesini istiyorsanız üzerine bir adet yağlı kağıt serebilirsiniz. Hazırladığınız köfte harcını folyonun üzerine koyup, elinizle bastırarak, yaydırın. Köfte harcının orta kısmına, haşladığınız 3 adet yumurtayı ardı sıra dizin. Yumurtaların aralarına ve yanlarına 1 çay bardağı hazır garnitürü yerleştirin. Alüminyum folyonun bir kenarını dikkatlice tutup, şekli bozulmadan rulo yapmak için kaldırın. Elinizle hafifçe bastırarak orta bölüme doğru getirin. Rulo şeklinin düzgün olması için alüminyum folyonun diğer tarafını da kaldırın. Orta bölümde iki ucu bir araya getirip, elinizle köfte harcının birbirine yapışmasını sağlayın. Köfte harcının birbirine iyice yapıştığından emin olduktan sonra alüminyum folyoyu açın ve dalyan köfteyi folyodan çıkartın. Orta büyüklükte bir borcamın tabanını sıvı yağ ile hafifçe yağlayın. Üzerine rulo şeklindeki dalyan köfte harcını koyun. 1 adet yumurta akını, çatalla çırptıktan sonra, fırça yardımı ile dalyan köfte harcının üzerine sürün. Sürdüğünüz yumurta akı, dalyan köfte fırında pişerken, dağılıp, açılmamasını sağlayacaktır. Dalyan köfte sosu için; küçük bir karıştırma kabına 2 yemek kaşığı domates salçasını koyun. Üzerine 1 su bardağı su ilave edip, kaşık yardımıyla karıştırın. Hazırladığınız domates sosunu, dalyan köfte üzerine kaşık yardımıyla gezdirerek dökün. Tüm sosu döktükten sonra danyan köftenin yanına 4 adet sivri biber yerleştirin. Önceden ısıtılmış 180 derece fırında yaklaşık 45 dk kadar pişirin. Pişen dalyan köfteyi fırından çıkartın, 2 parmak kalınlığında dilimler halinde kesin. Hazırladığınız dalyan köfteyi (rosto köfte) sıcak olarak misafirlerinize servis edebilirsiniz."
Elbasan Tava,ana yemek,kuşbaşı doğranmış et soğan yeşil biber tere yağı sarımsak kekik karabiber tuz yumurta sarısı un süzme yoğurt et suyu,"Tencereye tereyağı koyup eritmek Etleri kavurmak Soğan ve yeşil biber ekleyip kavurmak Kekik ve sarımsak ekleyip kavurmak Sıcak su ekleyip etler yumuşayana kadar pişirmek Tuz ve karabiber eklemek Etten 1 su bardağı et suyu alıp soğumaya bırakmak Sos için yumurta sarısı, un, tuz, süzme yoğurt ve et suyunu karıştırın Pişen eti fırın kabına koyup sosu üzerine dökmek Fırında 45-50 dakika pişirmek"
Fırında Beşamel Soslu Kıymalı Karnabahar,ana yemek,küçük boy karnabahar kıyma soğan büyük boy havuç zeytinyağı tuz karabiber Beşamel Sos İçin: tereyağı un süt Üzeri İçin: rendelenmiş kaşar peynir,"1 adet küçük boy karnabaharı çiçeklerine ayırıp, yıkayın. Derin bir tencereye alıp, üzerine su ekleyin. Yumuşayana kadar haşlayın. 1 adet büyük boy havucun kabuğunu soyun. Halkalar halinde kesip, haşlayın. Karnabahar ve havuç haşlandıktan sonra suyunu süzüp, soğumaya bırakın. Geniş bir tava içine 2-3 yemek kaşığı zeytinyağı koyun. Üzerine 1 adet ince ince doğranmış soğan ekleyip, 1 dakika kadar kavurun. Ardından tavaya 250 gr kıyma koyun. Kıymayı sürekli karıştırarak, pişirin. Kıyma piştikten sonra damak tadınıza göre tuz, karabiber ve haşlanmış havuçları ekleyip, karıştırın. Haşlanan karnabaharları fırın kabının tabanına yerleştirin. Üzerine hazırladığınız kıymalı havuçlu harcı yayın. Beşamel sos için; küçük bir tencereye 2 yemek kaşığı tereyağı koyup, eritin. Üzerine 2 yemek kaşığı un ekleyip, 2 dakika kadar kavurun. Daha sonra 1 buçuk su bardağı sütü azar azar döküp, unun topaklanmaması için sürekli karıştırın. Beşamel sos koyulaşıncaya kadar kısık ateşte 2-3 dakika kadar kaynatın. Son olarak tuz ve karabiberini de ekleyip, ocaktan alın. Sosu karnabaharlı karışımın üzerine dökün. Son olarak beşamel soslu kıymalı karnabaharın üzerine bolca rendelenmiş kaşar peynir serpiştirin. Ardından kırmızı toz biber serpiştirin. Önceden ısıtılmış 180 derece fırına verin. Yaklaşık 10-15 dakika kadar pişirin."
Fırında Et Yemeği,ana yemek,kırmızı et soğan patates kırmızı kapya biber çarliston biber domates salçası yoğurt zeytinyağı kekik kırmızı pul biber karabiber tuz,"Orta boy bir kaba 1 yemek kaşığı domates salçası koyun. Üzerine yarım yemek kaşığı yoğurt, yarım çay bardağı zeytinyağı, damak tadınıza göre tuz, kekik, kırmızı pul biber ve karabiber ekleyin. Tüm malzemeleri güzelce karıştırın. Salçalı sos karışımının üzerine 2 adet orta boy ay şeklinde ince ince doğranmış soğan koyun. Elinizle soğanları salçalı sos ile güzelce karıştırın. 500 gr kırmızı etin üzerine biraz tuz ve biraz zeytinyağı ekleyip, eliniz ile güzelce harmanlayın. Geniş bir fırın kabının tabanına hazırladığınız salçalı soslu soğan karışımını güzelce yayın. Bu karışımın üzerine etleri güzelce yerleştirin. 2 adet orta boy patatesi elma dilimi şeklinde doğrayıp, koyun. Kapta bulunan sos ile güzelce harmanlayın. 1 adet orta boy kapya biber ve 1 adet çarliston biberi iri olacak şekilde doğrayın. Biberleri ve patatesleri fırın tepsisinde boş olan kısımlara yerleştirin. Son olarak tepsinin tabanına yarım çay bardağından biraz fazla su dökün. Hazırladığınız et yemeğinin üzerini hafifçe ıslattığınız yağlı kağıt ile kapatın. Önceden ısıtılmış 190 derece fırına verin. Etler ve sebzeler yumuşayana kadar yaklaşık 1 saat kontrollü bir şekilde pişirin."
Fırında Karnabahar Yemeği,ana yemek,karnabahar kıyma soğan yumurta galeta unu maydanoz tuz karabiber kimyon kekik domates sarımsak tere yağı un süt kaşar peynir,"Karnabaharı çiçeklerine ayırıp, derin bir tencere içine koyun. Üzerlerini geçecek kadar su döküp, biraz tuz serpiştirin. Hafifçe yumuşayana kadar haşlayın. Köfte harcı için; bir kap içine 400 gr kıyma koyun. Üzerine 1 adet yumurta kırın. 1 adet orta boy rendelenmiş soğan, 2 yemek kaşığı galeta unu, damak tadınıza göre tuz, karabiber, kekik ve kimyon ekleyip, iyice yoğurun. Köfteleri kızgın yağ içinde kızartıp, bir tabak üzerine alın. Domates sosu için; 2 adet büyük boy domatesi rendeleyin. Orta boy bir tava içine rendelenmiş domatesi, 1 diş rendelenmiş sarımsak ve 1 yemek kaşığı tereyağı koyun. Sosu ara ara karıştırarak, 5 dakika pişirin. Haşladığınız karnabaharları orta boy geniş bir fırın kabı içine yerleştirin. Üzerine domates soslu köfteleri ekleyin. Beşamel sosu hazırlayın. Küçük derin bir tencere içine 1 yemek kaşığı tereyağı koyup, eritin. Eriyen yağın içine 1 yemek kaşığı dolusu un ekleyip, unun kokusu çıkana kadar yaklaşık 1 dakika kavurun. Fırın kabındaki yemeğin üzerine beşamel sosu gezdirerek, dökün. Üzerine bolca rendelenmiş kaşar peynir serpiştirin. Önceden ısıtılmış 180 derece fırına verin."
Fırında Pırasa,ana yemek,pırasa yumurta mısır unu süt sıvıyağ kabartma tozu tuz,"3 sap pırasayı temizleyip, yıkayın. Yuvarlak şekilde ince ince doğrayın. Doğradığınız pırasaları hafif tuzlu suda yumuşayana kadar haşlayın. Haşladığınız pırasaların suyunu süzüp, soğumaya bırakın. 2 adet yumurta kırıp, iyice çırpın. Çırptığınız yumurtaların üzerine 1 çay bardağı süt ve 1 çay bardağı sıvıyağ dökün. 2 çay bardağı mısır unu, 1 paket kabartma tozu ve 1 tatlı kaşığı kadar tuz ekleyin. Tüm malzemeleri tekrar iyice çırpın. Hazırladığınız karışımın içine soğuyan pırasaları koyun. Kaşık yardımı ile güzelce karıştırın. Küçük yuvarlak borcamın içini yağlayıp, biraz mısır unu serpiştirin. Pırasalı karışımı borcamın içine döküp, yayın. Önceden ısıtılmış 180 derece fırına verin. Üzeri kızarana kadar yaklaşık 20 dakika pişirin. Fırında pırasa piştikten sonra 5 dakika kadar ılımaya bırakın. Daha sonra dilimleyerek, servis edebilirsiniz."
Fırında Tavuk Baget,ana yemek,tavuk baget patates havuç soğan su domates salçası zeytinyağı yoğurt sarımsak karabiber köri kimyon kekik acı kırmızı toz biber tuz,"Tavuk bagetlerini yıkayıp temizleyin. Tavuk bagetlerin üstüne bıçak yardımı ile çizikler atın. Geniş bir kap içine domates salçası, zeytinyağı, yoğurt, sarımsak, karabiber, köri, kimyon, kekik, acı kırmızı toz biber ve tuz ekleyip karıştırın. Soğanı ay şeklinde ince ince doğrayın ve sosla karıştırın. Tavuk bagetlerini sosun içine koyun ve eliniz ile harmanlayın. Tavuk bagetlerini 40-45 dakika marine edin. Fırın kabına tavuk bagetlerini dizin. Patates ve havuçları dilimleyin ve sosla harmanlayın. Fırın kabına patates ve havuçları yerleştirin. Yağlı kağıdı musluk altında ıslatıp, suyunu sıkın ve fırın kabının üzerini kapatın. Fırın kabını önceden ısıtılmış 190 derece fırına verin ve 45 dakika pişirin. Fırından çıkartıp, üzerindeki yağlı kağıdı alın ve tekrar fırına verip 10-15 dakika daha pişirin."
Fırında Tavuk Şiş,ana yemek,tavuk göğsü yoğurt zeytinyağı domates salçası Çeri domates Kırmızı biber Yeşil biber Kekik Kimyon Kırmızı pul biber Tuz,"Tavuk göğsünü kuşbaşından biraz büyük olacak şekilde doğrayın. Orta boy derin bir kap içine 2 yemek kaşığı yoğurt, yarım çay bardağı zeytinyağı, 1 yemek kaşığı domates salçası, damak tadınıza göre tuz, kekik, kırmızı pul biber ve kimyon ekleyin. İsteğe göre sarımsak da rendeleyebilirsiniz. Sosu tel çırpıcı yardımı ile iyice karıştırın. Hazırladığınız sosun üzerine doğradığınız tavuk etlerini koyun. Tavuk etlerini sosu ile beraber güzelce harmanlayın. Hazırladığınız soslu tavuk etlerinin üzerini kapatıp, buzdolabında en az 2 saat kadar dinlenmeye bırakın. Daha sonra dinlenen tavuk etlerini buzdolabından çıkartın. Kullanacağınız kadar kırmızı biber ve yeşil biberin çekirdek kısmını temizleyip, tavuk etlerinin büyüklüğünde kesin. Diğer tarafta tavuk etlerin çöp şişlerden kolay bir şekilde ayrılması için çöp şişleri güzelce ıslatın. Ardından şişlere sırayla tavuk, kırmızı ve yeşil biber olacak şekilde dizin. Hazırladığınız tavuk çöp şişleri yağlı kağıt serili fırın tepsisi içine dizin. Çöp şişlerin üzerine yağlı kağıt serip, kenar kısımlarını güzelce kapatın. Bu şekilde tavuklar kendi buharında lezzetli bir şekilde pişecektir. Önceden ısıtılmış 200 derece fırına verin. Yaklaşık 30 dakika kadar pişirin. Fırında tavuk şişler piştikten sonra üzerindeki yağlı kağıdı alıp, boş olan kısımlara çeri domatesleri yerleştirin. Tavuk çöp şişleri tekrardan fırına verip, üzerleri kızarana kadar pişirin. Fırında tavuk şişler piştikten sonra sıcak olarak servis edebilirsiniz."
İç Pilavlı Tavuk Dolması,ana yemek,tavuk pilavlık pirinç soğan tereyağı dolmalık çam fıstığı kuş üzümü limon tuz karabiber yoğurt domates salçası,"Orta boy bir tencere içine 1 yemek kaşığı tereyağı koyup, eritin. Üzerine 1 adet orta boy ince ince doğranmış soğanı ekleyip, 1 dakika kavurun. Ardından 2 yemek kaşığı dolmalık çam fıstıklarını koyup, hafif pembeleşene kadar kavurun. Daha sonra pirinci ve 3 yemek kaşığı kuş üzümünü ekleyin. Pirinçli harcı 1-2 dakika kadar daha kavurun. Hazırladığınız iç pilavın üzerine tuz, karabiber ve 1/2 su bardağı kadar su ekleyin. 1-2 kere karıştırıp, tencerenin kapağını kapatın. Suyunu çekene kadar orta kıvamda pişirin. Pilav piştikten sonra ocaktan alıp, ılımaya bırakın. Daha sonra hazırladığınız iç pilavı tavuğun iç kısmına doldurun. Tavuğun içi fazla bastırmadan pilavla doldurun. Doldurduktan sonra tavuğun açık olan kısmını bir iğne iplik yardımı ile dikin. İsteğe bağlı olarak iple dikmek yerine tavuğun ayaklarını derisinden geçirip, sıkıştırabilirsiniz. Hazırladığınız iç pilavlı tavuğu derin bir tencere içine koyun. Üzerine hafifçe çıkacak kadar su ekleyin. Tavuk pişerken kokusunu alması için suyuna bir dilim limon parçası koyun. Tuz da ekleyip, tavuk domasını iyice pişirin. Belli bir süre sonra tavuğu yavaşça alt üst edip, diğer tarafınında pişmesini sağlayın. Pişen iç pilavlı tavuk dolmasını yavaşça alıp, bir fırın kabı içine koyun. Önceden ısıtılmış 180-190 derecelik fırına verin. Tavuk dolmasının üzeri kızarana kadar pişirin. İç pilavlı tavuk dolması piştikten sonra fırından çıkartıp, ip kısmını alın. Tavuğu bıçak yardımı ile dilimlere ayırıp, iç pilav ile servis edebilirsiniz."
Kabak Kebabı,ana yemek,kabak domates sivri biber kıyma soğan sarımsak maydanoz galeta unu tuz karabiber kırmızı pul biber domates salçası ılık su zeytinyağı,"Kıyma, rendelenmiş soğan, rendelenmiş sarımsak, maydanoz, galeta unu, tuz, karabiber ve kırmızı pul biber karıştırılır. Kabaklar soyulur ve halkalar halinde kesilir. Köfte harcından parçalar alınır ve yuvarlak şekli verilir. Kabak ve köfte dizmesi hazırlanır. Domates ve sivri biberler kesilir ve dizmeye eklenir. Zeytinyağı ve domates salçası sosu hazırlanır. Sos dizmenin üzerine dökülür ve fırına verilir. Kabak kebabı 40-45 dakika pişirilir."
Katıklı Dolma,ana yemek,kabak ince köftelik bulgur kıyma kuru soğan biber salçası kuru reyhan zeytinyağı sıcak su tuz kimyon karabiber kırmızı pul biber yoğurt sarımsak tere yağı domates salçası,"Kabakları yıkayın, tıraşlayın ve 2 parmak kalınlığında dilimleyin. Dilimlediğiniz kabakların iç kısımlarını oyacak ile oyup, çıkartın. Köfte harcını hazırlayın: kıyma, soğan, bulgur, biber salçası, kuru reyhan, tuz, karabiber, kimyon ve kırmızı pul biberi yoğurun. Kabakların içlerini hazırladığınız bulgurlu kıyma ile doldurun. Dolmaları tencereye diklemine dizin, üzerlerine tuz serpiştirin ve zeytinyağı gezdirin. Tencerenin tabanına sıcak su dökün ve dolmaların dağılmaması için üzerine küçük bir tabak kapatın. Dolmaları kaynamaya bırakın, 35-40 dakika kadar pişirin. Diğer tarafta yoğurt, tuz ve sarımsak ile sosu hazırlayın. Salçalı sosu için tereyağı, zeytinyağı, domates salçası ve kırmızı pul biberi kavurun. Dolmayı servis tabağına dizin, üzerine yoğurt ve salçalı sosu gezdirin."
Kavurma,ana yemek,yağlı kuşbaşı dana eti soğan sarımsak taze biberiye taze kekik defne yaprağı kimyon kırmızı toz biber tuz,"Geniş bir tencereyi ocak üzerine alıp, iyice ısıtın. İyice ısınan tencerenin içine 2 kilo yağlı kuşbaşı dana etini koyun. Etlerin rengi değişip, suyunu salana kadar ara ara karıştırarak, kavurun. Diğer tarafta 3 adet orta boy soğanın kabuğunu soyun. Her birini 4 eşit parçaya bölün. 2 baş sarımsağı da ayıklayıp, bütün olacak şekilde bırakın. Etler suyunu saldıktan sonra üzerine doğranmış soğan ve sarımsakları yerleştirin. Damak tadınıza göre kimyon, kırmızı toz biber ve tuz ekleyip, güzelce karıştırın. Son olarak etlerin üzerine 2 dal taze biberiye, 2 dal taze kekik ve 3 adet defne yaprağı koyun. Ardından tencerenin kapağını kapatın. Etleri kısık ateş üzerinde ara ara kontrol ederek 2 saat kadar pişirin."
Köfteli Şehzade Kebabı,ana yemek,patlıcan soğan sarımsak sivri biber biber salçası domates sıvı yağ kıyma yumurta galeta unu kimyon karabiber kekik tuz,Köfte harcını hazırlayın. Köfte harcından parçalar alın ve yuvarlayın. Patlıcanları soyun ve küp küp doğrayın. Patlıcanları kızartın. Köfteleri kızartın. Soğan ve sarımsakları kavurun. Biberleri kavurun. Domatesleri ekleyin ve pişirin. Sosu hazırlayın. Köfteleri sosla karıştırın. Patlıcanları ve köfteleri fırın kabına dizin. Yemeği fırında pişirin.
Lokanta Usulü Taze Fasulye,ana yemek,taze fasulye kuşbaşı et soğan sarımsak domates domates salçası zeytinyağı sıcak su tuz,"Taze fasulyenin uç kısımlarını kesip, varsa kılçıklarını ayıklayın. Fasulyeleri bolca su içinde yıkayıp, suyunu süzün. Fasulyeleri büyüklüklerine göre 2-3 parçaya kesin. Soğan, domates ve sarımsağın kabuğunu soyup, ince ince doğrayın. Küçük bir tencere içine zeytinyağı döküp, iyice ısıtın. Isınan yağın üzerine kuşbaşı doğranmış et koyun. Etin rengi değişene kadar sürekli karıştırarak, kavurun. Etin üzerini geçecek kadar sıcak su dökün. Etler hafifçe suyunu çekip, yumuşayana kadar pişirin. Geniş bir tencere içine zeytinyağı döküp, ısıtın. Yağın üzerine doğranmış soğanı ekleyip, 2 dakika sürekli karıştırarak, kavurun. Kavrulan soğanın üzerine domates salçası ve doğranmış sarımsakları ekleyin. Salçanın kokusu çıkana kadar sürekli karıştırarak, kavurun. Ardından tencereye pişirdiğiniz etleri koyup, 2 dakika kadar daha kavurmaya devam edin. Doğranmış domatesi ekleyip, güzelce karıştırın. Taze fasulyeleri ekleyin. Fasulyeleri diğer malzemeler ile birlikte 3-4 dakika daha sürekli karıştırarak kavurun. Son olarak tencereye taze fasulyelerin üzerini hafifçe geçecek kadar sıcak su ve damak tadınıza göre tuz koyup, karıştırın. Kaynamaya bırakın. Yemeğiniz kaynadıktan sonra kısık ateş üzerinde fasulyeler yumuşayana kadar pişirin."
Mercan Kebabı,ana yemek,tavuk kıyması çekilmiş kuyruk yağı galeta unu kapya biber kuru soğan tuz karabiber kekik kimyon kırmızı toz biber sıvı yağ,"1 adet orta boy kapya biber ve 1 adet kuru soğanı orta büyüklükte kesip, rondo içine koyun. Soğan ve biberi rondodan iyice geçirin. Daha sonra derin bir kap içine yarım kilo tavuk kıymasını koyun. Üzerine rondodan çektiğiniz biber ve soğanı ekleyin. 100 gr çekilmiş kuyruk yağı, 3 yemek kaşığı galeta unu, damak tadınıza göre tuz, kimyon, karabiber, kekik ve kırmızı toz biber ekleyin. Eliniz ile iyice yoğurun. Tavuk köfte kıvamı yumuşak olduysa biraz daha galeta unu ilave edilebilirsiniz. Kuyruk yağı olmadan da mercan kebabını yapabilirsiniz. Diğer tarafta geniş bir tencere içine sıvı yağ koyup, ısıtın. Tavuklu karışımdan ceviz büyüklüğünde parçalar alıp, elinizde oval şekli verin. Isınan yağ içine köfteleri dizin. Mercan kebabını arkalı önlü pişirin. Mercan kebabı piştikten sonra servis tabağına alın."
Patates Püresinde Tavuk Sote,ana yemek,kemiksiz tavuk pirzola orta boy soğan kırmızı kapya biber yeşil biber domates salçası zeytinyağı su köri kekik kimyon karabiber kırmızı toz biber tuz patates tereyağı rendelenmiş kaşar peynir rendelenmiş kaşar peynir (üzeri için),"Patatesleri soyup, yıkayın. Patatesleri küpler halinde doğrayıp, derin bir tencere içine koyun. Üzerlerini geçecek kadar sıcak su döküp, kaynamaya bırakın. Kaynadıktan sonra orta kısık ateş üzerinde patatesler yumuşayana kadar haşlayın. Haşlanan patateslerin suyunu süzüp, derin bir kap içine koyun. Patatesleri henüz sıcak iken püre ezicisi yardımı ile iyice ezin. Üzerine tereyağı, tuz, karabiber ve rendelenmiş kaşar peynir koyun. Tekrardan patatesli harcı pürüzsüz bir kıvam alana kadar iyice ezip, kenarda ılımaya bırakın. Kemiksiz tavuk pirzolayı küçük kuşbaşı şeklinde doğrayın. Soğanı, yeşil biberi ve kırmızı kapya biberi doğrayın. Orta boy geniş bir tencere içine zeytinyağı döküp, ısıtın. Isınan yağın üzerine doğradığınız tavuk etlerini ekleyin. Tavuk etleri suyunu salıp, hafifçe çekene kadar sürekli karıştırarak, kavurun. Ardından kavrulan tavuk etlerinin üzerine doğranmış soğan ve biberleri koyun. Tavuk etlerini soğan ve biberler ile birlikte 3-4 dakika ara ara karıştırarak, kavurun. Daha sonra tencereye domates salçası, köri, kırmızı toz biber, kekik, karabiber, kimyon ve tuz koyun. Tavuk etlerini salça ve baharatlar ile birlikte kısa bir süre daha kavurmaya devam edin. Son olarak hazırladığınız tavuk sotenin üzerine sıcak su döküp, karıştırın. Tencerenin kapağını kapatıp, bu şekilde 3 dakika daha pişirin ve ocak üzerinden alın. Hazırladığınız patates püresini 8 eşit parçaya ayırın. Bu parçaları elinizde düzgün bir şekil verene kadar yuvarlayın. Yuvarladığınız patatesleri yağlı kağıt serili fırın tepsisi içine hafif aralıklı olacak şekilde yerleştirin. Patates toplarının üzerlerine bardağın tabanı ile bastırarak, çukurlaştırın. Patates çukurlarına hazırladığınız tavuk soteyi eşit bir şekilde paylaştırın. Üzerlerine rendelenmiş kaşar peynir serpiştirin. Önceden ısıtılmış üst ızgara ayarında 200 derece fırına verin. Üzerleri hafifçe kızarana kadar pişirin."
Sebzeli Fırın Tava,ana yemek,kıyma patlıcan patates sivri biber kırmızı kapya biber soğan domates domates salçası zeytinyağı ılık su tuz karabiber,"Patlıcan, patates ve soğanın kabuğunu soyun. Patlıcan ve patatesi küpler halinde kesin. Soğanı ince ince doğrayın. Sivri biber ve kırmızı kapya biberin çekirdek kısmını temizleyip, küpler halinde kesin. Domatesi küçük küpler halinde kesin. Sebzeleri küçük yuvarlak borcam fırın kabının içine koyun. Sebzelerin üzerine kıyma, domates salçası, zeytinyağı, tuz ve karabiber ekleyin. Tüm malzemeyi harmanlayın. Sebzelerin üzerine hafifçe bastırıp, yayın. İlık suyu gezdirerek dökün. Önceden ısıtılmış 200 derece fırına verin. 40-45 dakika kadar pişirin."
